Cluster ID,Company Names
0,"tcs, tcts"
1,"accenture, accenture, accenture, accenture, accenture, accenture, accenture"
2,"cognizant, cognizant, cognite, cognizant"
3,"icici bank, icici bank, icici bank, icici bank, icici bank limited, icici bank, icici bank ltd, icici bank"
4,"hdfc bank, hdfc bank, hdfc bank, hdfc bank, hdfc bank, hdfc bank, hdfc bank ltd, hdfc bank"
5,"wipro, wipro infotech, wipro enterprises ltd, wipro infotech limited, wipro digital, wipro digital, wipro pari, wipro, wipro, wipro limited, wipro, wipro ltd, wipro"
6,"infosys, infosys consulting, infosys, infosys, infosys limited, infosys, infosys ltd, infosys"
7,"capgemini, capgemini, capgemini, capgemini se, capgemini, capgemini, capgemini se, capgemini se"
8,"tech mahindra, mahindra & mahindra, mahindra & mahindra financial services, mahindra & mahindra, tech mahindra, tech mahindra careers, mahindra & mahindra financial services ltd, mahindra & mahindra ltd, mahindra first choice, mahindra & mahindra, tech mahindra, mahindra & mahindra financial services ltd, tech mahindra ltd, mahindra & mahindra ltd, tech mahindra, mahindra & mahindra, mahindra & mahindra financial services"
9,"genpact, genpact"
10,hcltech
11,"amazon, amazon web services, amazon, amazon, amazon, amazon, amazon web services inc, amazon.com inc, amazon.com, amazon uk services ltd., amazon.com.ca, inc., amazon corporate llc, amazon corporate llc, amazon, amazon.com services llc"
12,"axis bank, axis bank, axis bank, axis bank, axis bank ltd, axis bank, axis bank ltd, axis bank"
13,"ibm, ibm, ibm, ibm, ibm, ibm"
14,"concentrix corporation, concentrix corporation, concentrix corporation"
15,"reliance jio, reliance jio infocomm ltd, reliance jio"
16,"larsen & toubro limited, larsen & toubro group, larsen & toubro, larsen & toubro, larsen & toubro, larsen & toubro ltd, larsen & toubro"
17,hdb financial services
18,"vodafone idea, vodafone, vodafone, vodacom, vodafone idea, vodafone, vodacom group ltd, vodafone group plc, vodafone, vodafone czech republic, vodafone hungary, vodafone ireland, vodafone netherlands, vodafone romania, vodafone spain, vodafone idea ltd, vodacom group ltd, vodafone group plc, vodafone group, vodacom group, vodafone idea limited, vodafone limited, vodafone corporate limited"
19,"teleperformance, teleperformance, teleperformance, teleperformance se, teleperformance se"
20,"reliance retail, reliance industries, reliance capital, reliance infrastructure, reliancesmart.in, reliance cement company, reliance petroleum, reliance group, reliance foundation india, reliance lifestyle holdings, reliance industries, reliance infrastructure, reliance industries, reliance industries careers, reliance industries, reliance worldwide corporation ltd, reliance industries ltd, reliance industries, reliance worldwide corporation"
21,"kotak mahindra bank, kotak mahindra bank, kotak mahindra bank, kotak mahindra bank, kotak mahindra bank ltd, kotak mahindra bank"
22,"deloitte, deloitte, deloitte llp, deloitte llp"
23,"bharti airtel, bharti airtel, bharti airtel, bharti airtel, bharti airtel ltd, bharti airtel"
24,"tata motors, tata steel, tata steel, tata projects, tata communications, tata technologies, tata motors finance, tata capital financial services, tata power, tata communications transformation services, tata capital, tata advanced systems, tata steel bsl, tata consumer products, tata bluescope steel, tata bluescope steel, tata electronics, tata steel mining, tata consultancy services, tata motors, tata steel, tata consultancy services, tata steel, tata motors, tata health international holdings ltd, tata motors limited, bluescope steel limited, tata steel, tata consultancy services, tata steel, tata motors, bluescope steel, tata consumer products ltd, tata communications ltd, the tata power co ltd, bluescope steel ltd, tata consultancy services ltd, tata steel ltd, tata motors ltd, tata consultancy services (tcs), tata motors, tata steel, tata power company, tata consumer products limited, bluescope steel, tata communications, tata investment corporation, tata technologies europe limited, tata steel uk limited, tata technologies europe limited"
25,"byju's, byju's, byjus"
26,"flipkart, flipkart"
27,"wns, wns"
28,"indusind bank, industrial bank, indusind bank, industrial bank, industrial bank co. ltd, industrial bank, indusind bank, indusind bank ltd, industrial bank co ltd, industrial bank, indusind bank"
29,"ernst & young, ernst & young"
30,"dxc technology, dxc technology company, dxc technology, dxc technology co, dxc technology company"
31,"hinduja global solutions, hinduja global solutions"
32,infosys bpm
33,"maruti suzuki, suzuki motor gujarat, suzuki motorcycle, suzuki, suzuki, maruti suzuki india, suzuki motor, suzuki motor, suzuki motor corp, suzuki motor, maruti suzuki india ltd, suzuki motor corp, maruti suzuki india, suzuki motor corporation"
34,"idfc first bank, idfc first bank limited"
35,"hsbc, hsbc, hsbc, hsbc holdings, hsbc, hsbc holdings, hsbc holdings plc, hsbc holdings, hsbc holdings plc"
36,"bajaj finserv, bajaj finserv, bajaj finserv, bajaj finserv ltd, bajaj finserv"
37,"ericsson, ericsson, ericsson, ericsson, ericsson, ericsson, ericsson eesti as, ericsson eesti as"
38,conneqt business solutions
39,"mphasis, mphasis, mphasis"
40,"startek, startek"
41,"dr. reddy's, dr. reddy's foundation, dr. reddy's laboratories limited, dr. reddy's laboratories ltd, dr. reddy's laboratories"
42,sutherland global services
43,cipla pharmaceutical
44,"yes bank, yes bank ltd, yes bank"
45,"udaan, udaan"
46,jana small finance bank
47,"asian paints, ppg asian paints, asian paints, asian paints, asian paints ltd, asian paints"
48,"ntt data, ntt data business solutions, ntt data, ntt data corp, ntt data corp, ntt data corporation, ntt data business solutions limited, ntt data business solutions limited"
49,"icici prudential life insurance, icici prudential, icici prudential life insurance co ltd, icici prudential life insurance company"
50,"hdfc life, hdfc, hdfc, hdfc"
51,"lupin, lupin limited, lupin"
52,"hcl group, hci group"
53,pwc
54,exl service
55,"ienergizer, ienergizer limited"
56,indian army
57,l&t infotech
58,"ultratech cement, ultratech cement, ultratech cement ltd, ultratech cement"
59,"bajaj finance, bajaj auto, bajaj motors, bajaj, bajaj finance, bajaj auto, bajaj auto, bajaj finance ltd, bajaj auto ltd, bajaj finance, bajaj auto"
60,home credit finance
61,"kpmg, kpmg"
62,"paytm, paytm payments bank, paytm money, paytm money careers"
63,mindtree
64,"hindustan unilever, hindustan unilever, hindustan unilever ltd, hindustan unilever"
65,"itc, itc, itc, itc, itc, itc, itc"
66,"ujjivan small finance bank, utkarsh small finance bank"
67,iifl
68,"bandhan bank, bandhan bank ltd, bandhan bank"
69,oppo
70,"jp morgan chase, jpmorgan chase, jpmorgan, jpmorgan, jpmorgan chase, jpmorgan chase & co, j p morgan chase & co, jpmorgan chase bank, national association"
71,"wells fargo india, wells fargo, wells fargo, wells fargo, wells fargo, wells fargo & co, wells fargo & company, wells fargo & company, wells fargo & company"
72,zydus cadila
73,"delhivery, delhivery, delhivery"
74,"shriram transport finance, shriram finance, shriram finance ltd, shriram transport finance company"
75,"sun pharmaceutical industries, sun pharma laboratories, sun pharma advanced research company, sun pharmaceutical, sun pharma industries, sun pharmaceutical industries ltd, sun pharmaceutical industries, sun pharma advanced research company, beijing science sun pharmaceutical"
76,shapoorji pallonji group
77,"ashok leyland, ashok leyland ltd, ashok leyland"
78,"aurobindo pharma, aurobindo pharma, aurobindo pharma ltd, aurobindo pharma"
79,"vivo, vivo healthcare"
80,"au small finance bank, au small finance bank"
81,"siemens, siemens energy, siemens healthcare, siemens healthineers, siemens, siemens, siemens healthineers, siemens energy, siemens energy, siemens healthineers ag, siemens, siemens, siemens energy, siemens, siemens ltd, siemens healthineers ag, siemens energy ag, siemens ag, siemens, siemens healthineers ag, siemens energy, siemens india"
82,"apollo hospitals, apollo clinic, apollo speciality hospital, apollo spectra hospitals, apollo spectra hospitals, apollomedics super speciality hospitals, apollo medical holdings, apollo healthcare corp., apollo hospitals enterprise ltd, apollo hospitals enterprise, apollo medical holdings"
83,"hewlett-packard enterprise, hewlett-packard, hewlett packard enterprise, hewlett packard enterprise, hewlett packard enterprise company, hewlett packard enterprise, hewlett packard enterprise co, hewlett packard enterprise company, hewlett-packard development company, l.p., hewlett packard enterprise company"
84,"nokia, nokia, nokia, nokia, nokia corporation, nokia, nokia, nokia corp, nokia corporation"
85,max life insurance
86,"first source, 1st source"
87,"hexaware technologies, hexaware technologies, hexaware technologies ltd, hexaware technologies"
88,"jsw steel, jsw steel, jsw steel, jsw steel, jsw, jsw steel ltd, jsw steel"
89,"oracle, oracle, oracle, oracle corp japan, oracle, oracle, oracle corporation japan, oracle corp, oracle corporation, oracle corporation japan"
90,intelenet global services
91,"quess, quess"
92,"reliance communications, reliance communications"
93,future group
94,jll
95,"hero motocorp, hero motocorp ltd, hero motocorp"
96,"fidelity national information services, fidelity national financial, fidelity investment, fidelity national information services, fidelity national financial, fidelity national information (fis), fidelity national financial careers, fidelity national financial, inc., fidelity national information services, inc., fidelity national financial, fidelity national information (fis), fidelity national information services inc, fidelity national financial inc, fidelity national information services, fidelity national financial, fidelity capital investors, inc., fidelity investments institutional operations company, inc."
97,justdial
