Company_Name_1,Company_Name_2,Ground_Truth,Similarity,Prediction,Result
vodafone,vodacom,0,0.0000,0,Match
bny mellon,national association,0,0.0000,0,Match
ubisoft,ubis,0,0.0000,0,Match
hinduja group,the hindu group,0,0.0000,0,Match
ferrari,ferrero,0,0.0000,0,Match
salvatore ferragamo,ferragamo finanziaria spa,0,0.0000,0,Match
meta materials,meta platforms (facebook),0,0.0000,0,Match
uniqlo,uniqa,0,0.0000,0,Match
bad dolly limited,dolly noire,0,0.0000,0,Match
meitis,metis,0,0.0000,0,Match
hermes corporate and finances (uk) limited,hermes reply srl,0,0.0000,0,Match
universal music group,universal cables,0,0.0000,0,Match
american vanguard,vanguard group,0,0.0000,0,Match
moretti motor company,birra moretti,0,0.0000,0,Match
burger king,berger paints,0,0.0000,0,Match
louis vuitton,louis philippe,0,0.0000,0,Match
apple,apollo,0,0.7600,1,Mismatch
rai pubblicita' spa,rai,0,0.0000,0,Match
axe,axel mark,0,0.0000,0,Match
barista lavazza (india),lavazza,0,0.0000,0,Match
eastman chemical company,eastman kodak company,0,0.0000,0,Match
sky lab infotech,skytech,0,0.0000,0,Match
pixart imaging,pixar,0,0.0000,0,Match
eni plenitude spa societa' benefit,apeiron societa' benefit spa,0,0.0000,0,Match
paramount health services tpa,paramount pictures international limited,0,0.0000,0,Match
nitto boseki co. ltd,nitto boseki,0,0.0000,0,Match
mclaren automotive limited,mclaren construction group plc,0,0.0000,0,Match
bigbasket,milkbasket,0,0.0000,0,Match
viatris,viacomcbs inc.,0,0.0000,0,Match
pizza pizza,pizza hut,0,0.0000,0,Match
easier finances limited,clearer finances limited,0,0.0000,0,Match
new age clothes ltd,new age laundry ltd,0,0.0000,0,Match
good company limited,good and evil capital ltd,0,0.0000,0,Match
telus,telos,0,0.9067,1,Mismatch
jgc corporation,jgc holdings corp,1,0.0000,0,Mismatch
airbus americas customer services,airbus group,1,0.0000,0,Mismatch
pepsico,pepsi-cola metropolitan bottling company,1,0.0000,0,Mismatch
coca-cola company,coca-cola,1,0.0000,0,Mismatch
apollomedics super speciality hospitals,apollo medical holdings,1,0.0000,0,Mismatch
supreme industries,supreme engineering ltd,1,0.0000,0,Mismatch
amazon digital uk limited,amazon online uk limited,1,0.0000,0,Mismatch
unicoop firenze soc coop,unicoop tirreno soc coop,1,0.0000,0,Mismatch
ford india,chennai ford,1,0.0000,0,Mismatch
amway corp,amway international inc.,1,0.0000,0,Mismatch
timkensteel,timken company,1,0.0000,0,Mismatch
bosch rexroth india,bosch india,1,0.0000,0,Mismatch
dominos pizza,domino's pizza enterprises limited,1,0.0000,0,Mismatch
the walt disney company,disney incorporated,1,0.0000,0,Mismatch
rai,rai way,1,0.8667,1,Match
xinyi automobile glass hong kong enterprises ltd,xinyi glass holdings,1,0.0000,0,Mismatch
columbia banking system,columbia financial,1,0.0000,0,Mismatch
tata starbucks,tata coffee,1,0.0000,0,Mismatch
fox corporation,fox factory holding corp,1,0.0000,0,Mismatch
software & support media ltd,software media ltd,1,0.0000,0,Mismatch
pt pelayaran tamarin samudra tbk,pt pelayaran nasional bina buana raya tbk,1,0.0000,0,Mismatch
pt bumi teknokultura unggul tbk,pt bumi citra permai tbk,1,0.0000,0,Mismatch
b3 s.a. - brasil,bolsa,1,0.0000,0,Mismatch
ooh!media limited,new age digital media limited,1,0.0000,0,Mismatch
jpmorgan japanese investment trust plc,jpmorgan japan small cap growth & income plc,1,0.0000,0,Mismatch
baillie gifford shin nippon plc,baillie gifford european growth trust plc,1,0.0000,0,Mismatch
asian marine services public company ltd,asian sea corp public company ltd,1,0.0000,0,Mismatch
ooh!media limited,new age digital media limited,1,0.0000,0,Mismatch
