Merged Metaphone Code,Company Names
TKS,"['toagosei', 'toyo gosei', 'teicos ue', 'dxy', 'dgs', 'tdc a/s', 'tcs', 'tucows', 'dexia', 'dockwise', 'dukes']"
AKSNTR,"['accenture', 'axtria', 'essentra', 'ascent hr', 'esentire', 'we can do hr', 'extra']"
KNSNT,"['cummins india', 'kansai paint', 'cognizant']"
ASSPNK,"['yes bank', 'wesbanco', 'espanicooã\x83â\x83ã\x85â\x93(14953366)', 'axis bank', 'icici bank', 'isbank']"
TFKPNK,['hdfc bank']
APR,"['weber', 'uber', 'wipro', 'iberia', 'opera', 'oberoi']"
ANFSS,['infosys']
KPJMN,"['capgemini', 'capgemini se']"
TXMHNTR,['tech mahindra']
JNPKT,['genpact']
KLTX,"['gl tech', 'hcltech']"
AMSN,['amazon']
APM,"['ibm', 'wibmo']"
KNSNTRKSKRPRXN,"['concentrix cvg corporation', 'concentrix corporation', 'quanterix corporation']"
RLNSJ,"['reliance jio', 'reliance ajio']"
LRSNNTPRLMTT,"['larsen & toubro limited', 'larsen & toubro ltd']"
TPFNNSLSRFSS,"['pc financial services', 'hdb financial services', 'toyota financial services']"
FTFNT,['vodafone idea']
TLPRFRMNS,"['teleperformance', 'teleperformance se']"
RLNSRTL,['reliance retail']
KTKMHNTRPNK,"['kotak mahindra bank ltd', 'kotak mahindra bank']"
TLT,"['teld', 'tih ltd', 'teo lt', 'deloitte']"
RLNSNTSTRS,"['reliance industries ltd', 'reliance industries']"
PRTRTL,['bharti airtel']
TTMTRS,"['toyota motor', 'tata motors', 'dd motors']"
PJS,"[""byju's"", 'byjus']"
FLPKRT,"['flipboard', 'flipkart']"
NS,"['nos', 'neos', 'nse', 'nhoa sa', 'nss', 'wns', 'nuzee', 'nice', 'nissou', 'nissay']"
MHNTRMHNTR,"['mahindra & mahindra ltd', 'mahindra & mahindra']"
ANTSNTPNK,"['indusind bank', 'indusind bank ltd']"
ARNSTTNK,['ernst & young']
TKSTKNLJ,"['dxc technology', 'dxc technology co']"
HNTJKLPLSLXNS,['hinduja global solutions']
ANFSSPPM,['infosys bpm']
MRTSSK,['maruti suzuki']
ATFKFRSTPNK,['idfc first bank']
SPK,"['spc', 'zebec', 'cibc', 'sabic', 'spakooã\x83â\x83ã\x85â\x93(12222958)', 'spaikoã\x83â\x83ã\x85â\x93(10943033)', 'hsbc']"
PJJFNSRF,['bajaj finserv']
ARKSN,"['ericsson', 'essjay ericsson', 'arcosa inc']"
KNKTPSNSSLXNS,['conneqt business solutions']
MFSS,['mphasis']
STRTK,"['startek', 'stride inc', 'stratec se', 'streetec', 'stratec']"
TRRRTS,"[""dr. reddy's""]"
S0RLNTKLPLSRFSS,['sutherland global services']
SPLFRMSTKL,"['cipla pharmaceutical', 'apeloa pharmaceutical', 'sino biopharmaceutical']"
ATN,"['udaan', 'eaton', 'ito en', 'edun', 'adyen', 'adn', 'ito-en']"
JNSMLFNNSPNK,"['ujjivan small finance bank', 'jana small finance bank']"
ASNPNTS,['asian paints']
NTTT,['ntt data']
ASSPRTNXLLFNSRNS,"['icici prudential life insurance', 'icici prudential life insurance co ltd']"
TFKLF,['hdfc life']
LPN,"['le panier', 'lupin']"
KLKRP,"['coles group', 'collector ab', 'camel group', 'big yellow group', 'cl group', 'hcl group', 'clp group', 'klj group', 'clair group', 'quidel corp', 'zucol group', 'keller group', 'bgl group', 'gallas group', 'kla corp', 'scalia group']"
