Id,Cluster
toagosei,TKS
toyo gosei,TKS
teicos ue,TKS
dxy,TKS
dgs,TKS
tdc a/s,TKS
tcs,TKS
tucows,TKS
dexia,TKS
dockwise,TKS
dukes,TKS
accenture,AKSNTR
axtria,AKSNTR
essentra,AKSNTR
ascent hr,AKSNTR
esentire,AKSNTR
we can do hr,AKSNTR
extra,AKSNTR
cummins india,KNSNT
kansai paint,KNSNT
cognizant,KNSNT
yes bank,ASSPNK
wesbanco,ASSPNK
espanicooãâãâ(14953366),ASSPNK
axis bank,ASSPNK
icici bank,ASSPNK
isbank,ASSPNK
hdfc bank,TFKPNK
weber,APR
uber,APR
wipro,APR
iberia,APR
opera,APR
oberoi,APR
infosys,ANFSS
capgemini,KPJMN
capgemini se,KPJMN
tech mahindra,TXMHNTR
genpact,JNPKT
gl tech,KLTX
hcltech,KLTX
amazon,AMSN
ibm,APM
wibmo,APM
concentrix cvg corporation,KNSNTRKSKRPRXN
concentrix corporation,KNSNTRKSKRPRXN
quanterix corporation,KNSNTRKSKRPRXN
reliance jio,RLNSJ
reliance ajio,RLNSJ
larsen & toubro limited,LRSNNTPRLMTT
larsen & toubro ltd,LRSNNTPRLMTT
pc financial services,TPFNNSLSRFSS
hdb financial services,TPFNNSLSRFSS
toyota financial services,TPFNNSLSRFSS
vodafone idea,FTFNT
teleperformance,TLPRFRMNS
teleperformance se,TLPRFRMNS
reliance retail,RLNSRTL
kotak mahindra bank ltd,KTKMHNTRPNK
kotak mahindra bank,KTKMHNTRPNK
teld,TLT
tih ltd,TLT
teo lt,TLT
deloitte,TLT
reliance industries ltd,RLNSNTSTRS
reliance industries,RLNSNTSTRS
bharti airtel,PRTRTL
toyota motor,TTMTRS
tata motors,TTMTRS
dd motors,TTMTRS
byju's,PJS
byjus,PJS
flipboard,FLPKRT
flipkart,FLPKRT
nos,NS
neos,NS
nse,NS
nhoa sa,NS
nss,NS
wns,NS
nuzee,NS
nice,NS
nissou,NS
nissay,NS
mahindra & mahindra ltd,MHNTRMHNTR
mahindra & mahindra,MHNTRMHNTR
indusind bank,ANTSNTPNK
indusind bank ltd,ANTSNTPNK
ernst & young,ARNSTTNK
dxc technology,TKSTKNLJ
dxc technology co,TKSTKNLJ
hinduja global solutions,HNTJKLPLSLXNS
infosys bpm,ANFSSPPM
maruti suzuki,MRTSSK
idfc first bank,ATFKFRSTPNK
spc,SPK
zebec,SPK
cibc,SPK
sabic,SPK
spakooãâãâ(12222958),SPK
spaikoãâãâ(10943033),SPK
hsbc,SPK
bajaj finserv,PJJFNSRF
ericsson,ARKSN
essjay ericsson,ARKSN
arcosa inc,ARKSN
conneqt business solutions,KNKTPSNSSLXNS
mphasis,MFSS
startek,STRTK
stride inc,STRTK
stratec se,STRTK
streetec,STRTK
stratec,STRTK
dr. reddy's,TRRRTS
sutherland global services,S0RLNTKLPLSRFSS
cipla pharmaceutical,SPLFRMSTKL
apeloa pharmaceutical,SPLFRMSTKL
sino biopharmaceutical,SPLFRMSTKL
udaan,ATN
eaton,ATN
ito en,ATN
edun,ATN
adyen,ATN
adn,ATN
ito-en,ATN
ujjivan small finance bank,JNSMLFNNSPNK
jana small finance bank,JNSMLFNNSPNK
asian paints,ASNPNTS
ntt data,NTTT
icici prudential life insurance,ASSPRTNXLLFNSRNS
icici prudential life insurance co ltd,ASSPRTNXLLFNSRNS
hdfc life,TFKLF
le panier,LPN
lupin,LPN
coles group,KLKRP
collector ab,KLKRP
camel group,KLKRP
big yellow group,KLKRP
cl group,KLKRP
hcl group,KLKRP
clp group,KLKRP
klj group,KLKRP
clair group,KLKRP
quidel corp,KLKRP
zucol group,KLKRP
keller group,KLKRP
bgl group,KLKRP
gallas group,KLKRP
kla corp,KLKRP
scalia group,KLKRP
bcg,PK
bec,PK
bookk,PK
picc,PK
pk,PK
ppg,PK
piggy,PK
pccw,PK
bawag,PK
pwc,PK
pico,PK
bahco,PK
biogaia,PK
beike,PK
bic,PK
bikayi,PK
pokka,PK
boqii,PK
boeck,PK
baywa ag,PK
boco,PK
exl service,AKSLSRFS
excel it service,AKSLSRFS
energisa,ANRJSR
ienergizer,ANRJSR
indian army,ANTNRM
indorama,ANTNRM
l&t infotech,LLTNFTX
ultratech cement ltd,ALTRTXSMNT
ultratech cement,ALTRTXSMNT
bajaj finance,PJJFNNS
home credit finance,HMKRTTFNNS
kpmg,KPMK
paytm,PTM
ptm,PTM
bittium,PTM
podium,PTM
monotaro,MNTR
mindray,MNTR
mindtree,MNTR
myntra,MNTR
hindustan unilever,HNTSTNNLFR
hindustan unilever ltd,HNTSTNNLFR
wetaca,ATK
adecco,ATK
atco,ATK
audi ag,ATK
edeka,ATK
itc,ATK
attack,ATK
etic,ATK
iifl,AFL
ivalua,AFL
avl,AFL
bdo unibank,PNTNPNK
bandhan bank,PNTNPNK
yubi,AP
oppo,AP
aibee,AP
opay,AP
ibio,AP
apa,AP
abb,AP
whoop,AP
uob,AP
ap,AP
abea,AP
ebay,AP
ob,AP
jp morgan chase,JPMRKNXS
j p morgan chase & co,JPMRKNXS
jpmorgan chase & co,JPMRKNXS
jpmorgan chase,JPMRKNXS
wells fargo india,ALSFRKNT
zydus cadila,STSKTL
deliveroo,TLFR
delhivery,TLFR
shriram transport finance,XRRMTRNSPRTFNNS
sun pharmaceutical industries ltd,SNFRMSTKLNTSTRS
sun pharmaceutical industries,SNFRMSTKLNTSTRS
shapoorji pallonji group,XPRJPLNJKRP
ashok leyland,AXKLLNT
aurobindo pharma,ARPNTFRM
five9,FF
favi,FF
vvf,FF
vef,FF
vivo,FF
vf,FF
veev,FF
fev,FF
mahindra & mahindra financial services ltd,MHNTRMHNTRFNNSLSRFSS
mahindra & mahindra financial services,MHNTRMHNTRFNNSLSRFSS
au small finance bank,ASMLFNNSPNK
siemens,SMNS
be well hospitals,APLSPTLS
apollo hospitals,APLSPTLS
hewlett packard enterprise,HLTTKRTNTRPRS
hewlett-packard enterprise,HLTTKRTNTRPRS
pne ag,NK
nic,NK
niki,NK
nokia,NK
neuca,NK
naga,NK
nykaa,NK
newegg,NK
ncc,NK
nagawa,NK
nec,NK
nike,NK
max life insurance,MKSLFNSRNS
tata steel,TTSTL
daido steel,TTSTL
first source,FRSTSRS
hexaware technologies ltd,HKSRTKNLJS
himax technologies,HKSRTKNLJS
maxar technologies,HKSRTKNLJS
hexaware technologies,HKSRTKNLJS
jsw steel,JSSTL
arqule,ARKL
aircall,ARKL
oracle,ARKL
intelenet global services,ANTLNTKLPLSRFSS
cass,KS
koss,KS
0x,KS
casio,KS
go4sea,KS
kws,KS
caz,KS
quess,KS
cowi a/s,KS
koesea,KS
cgs,KS
goeasy,KS
kose,KS
guess,KS
chsi,KS
kaseya,KS
csi,KS
gs,KS
cazoo,KS
reliance communications,RLNSKMNKXNS
tata projects,TTPRJKTS
varroc group,FTRKRP
vita group,FTRKRP
victora group,FTRKRP
dar group,FTRKRP
vat group,FTRKRP
future corp,FTRKRP
vistry group,FTRKRP
ferro corp,FTRKRP
future group,FTRKRP
federal corp,FTRKRP
fierro group,FTRKRP
vector group,FTRKRP
futures group,FTRKRP
jeol,JL
jwil,JL
hgiel,JL
jll,JL
hero motocorp,HRMTKRP
fidelity national information services,FTLTNXNLNFRMXNSRFSS
fidelity national information (fis),FTLTNXNLNFRMXNSRFSS
"fidelity national information services, inc.",FTLTNXNLNFRMXNSRFSS
fidelity national information services inc,FTLTNXNLNFRMXNSRFSS
justdial,JSTL
tvs motor,TFSMTR
suunto,SNT
sciant,SNT
cyient,SNT
syntio,SNT
zenoti,SNT
xanadu,SNT
sunwoda,SNT
sand,SNT
signode,SNT
syniti,SNT
oyo rooms,ARMS
bajaj allianz life insurance,PJJLNSLFNSRNS
honda motor,HNTMTR
hyundai motor co,HNTMTR
hotai motor,HNTMTR
hyundai motor,HNTMTR
wipro bps,APRPPS
puch,PX
bacci,PX
bosch,PX
megha engineering & infrastructures,MNJNRNKKNFRSTRKTRS
omega healthcare,AMKL0KR
ec healthcare,AMKL0KR
l & w constructions,LLTKNSTRKXN
l&t construction,LLTKNSTRKXN
atos syntel,ATSSNTL
d mart,TMRT
dmart,TMRT
manappuram finance,MNPRMFNNS
manappuram home finance,MNPRMFNNS
sbi cards & payment services,SPKRTSSPMNTSRFSS
zumiez inc,SMSNK
samsung,SMSNK
bny mellon,PNMLN
cummins,KMNS
fullerton india,FLRTNNT
fluor daniel india,FLRTNNT
okwave,AKF
yougov,AKF
iqvia,AKF
agv,AKF
agfa,AKF
nicorio,NKR
nagarro,NKR
naukri,NKR
nucor,NKR
nok air,NKR
nga hr,NKR
viatris,FTRS
aditya birla fashion and retail ltd,ATTPRLFXNNTRTL
aditya birla fashion and retail,ATTPRLFXNNTRTL
big basket,PKPSKT
bigbasket,PKPSKT
imdex,AMTKS
amdocs,AMTKS
immatics,AMTKS
augmedix,AMTKS
kbr,KPR
ca.pri,KPR
cbre,KPR
gopro,KPR
cupra,KPR
bosch global software technologies,PXKLPLSFTRTKNLJS
indiamart intermesh,ANTMRTNTRMX
godrej & boyce manufacturing,KTRJJPSMNFKTRNK
schneider electric spa,XNTRLKTRK
schneider electric se,XNTRLKTRK
schneider electric,XNTRLKTRK
schneider electric india,XNTRLKTRK
royal enfield,RLNFLT
aczet,AST
eset,AST
essity,AST
ust,AST
fruit tree,FRTMTR
ford motor,FRTMTR
ford motor co,FRTMTR
ecom express,AKMKSPRS
jp group,JPMKRP
jbm group,JPMKRP
bmw group,JPMKRP
bma group,JPMKRP
jaypee group,JPMKRP
equitas small finance bank,AKTSSMLFNNSPNK
state bank of india,STTPNKFNT
state bank of india (sbi),STTPNKFNT
twilio,TL
dell,TL
tele2,TL
deel,TL
telia,TL
htl,TL
toll,TL
deoleo,TL
doll,TL
til,TL
dhl,TL
icici lombard general insurance company,ASSLMPRTJNRLNSRNSKMPN
whitehat jr,ATHTJR
